ticker,date,price,volume,daily_return
CECZ,2010-09-20,0.475,1954,-0.008350730688935326
CECZ,2010-09-21,0.475,9316,0.0
CECZ,2010-09-22,0.499,693577,0.05052631578947375
CECZ,2010-09-23,0.499,0,0.0
CECZ,2010-09-24,0.5,1158,0.002004008016031955
CECZ,2010-09-27,0.5,3296,0.0
CECZ,2010-09-28,0.5,263775,0.0
CECZ,2010-09-29,0.5,17400,0.0
CECZ,2010-09-30,0.5,457446,0.0
CECZ,2010-10-01,0.515,272400,0.030000000000000027
CECZ,2010-10-04,0.52,264160,0.009708737864077666
CECZ,2010-10-05,0.52,1289791,0.0
CECZ,2010-10-06,0.53,575006,0.019230769230769162
CECZ,2010-10-07,0.53,705000,0.0
CECZ,2010-10-08,0.525,380779,-0.009433962264150941
CECZ,2010-10-11,0.525,716704,0.0
CECZ,2010-10-12,0.525,73563,0.0
CECZ,2010-10-13,0.54,25753,0.028571428571428692
CECZ,2010-10-14,0.525,536200,-0.02777777777777779
CECZ,2010-10-15,0.525,48240,0.0
CECZ,2010-10-18,0.525,197835,0.0
CECZ,2010-10-19,0.525,258600,0.0
CECZ,2010-10-20,0.53,10000,0.00952380952380949
CECZ,2010-10-21,0.525,470000,-0.009433962264150941
CECZ,2010-10-22,0.535,201382,0.01904761904761898
CECZ,2010-10-26,0.535,0,0.0
CECZ,2010-10-27,0.525,296716,-0.01869158878504673
CECZ,2010-10-28,0.535,176418,0.01904761904761898
CECZ,2010-10-29,0.535,1439,0.0
CECZ,2010-11-01,0.535,865729,0.0
CECZ,2010-11-02,0.535,372533,0.0
CECZ,2010-11-03,0.535,98995,0.0
CECZ,2010-11-04,0.539,646487,0.007476635514018781
CECZ,2010-11-05,0.54,7424,0.0018552875695732052
CECZ,2010-11-08,0.535,22060,-0.0092592592592593
CECZ,2010-11-09,0.527,13210,-0.01495327102803734
CECZ,2010-11-10,0.52,1591,-0.013282732447817858
CECZ,2010-11-11,0.523,11273,0.005769230769230749
CECZ,2010-11-12,0.525,3169,0.003824091778202643
CECZ,2010-11-15,0.535,2698792,0.01904761904761898
CECZ,2010-11-16,0.54,163128,0.009345794392523477
CECZ,2010-11-17,0.54,911380,0.0
CECZ,2010-11-18,0.545,626077,0.0092592592592593
CECZ,2010-11-19,0.579,3501000,0.062385321100917324
CECZ,2010-11-22,0.575,27401,-0.006908462867012077
CECZ,2010-11-23,0.57,125000,-0.008695652173913104
CECZ,2010-11-24,0.579,1127633,0.015789473684210575
CECZ,2010-11-25,0.541,29901,-0.06563039723661468
CECZ,2010-11-26,0.58,70022,0.07208872458410331
CECZ,2010-11-29,0.61,129960,0.051724137931034475
CECZ,2010-11-30,0.599,1042222,-0.0180327868852459
CECZ,2010-12-01,0.6,184767,0.0016694490818029983
CECZ,2010-12-02,0.6,48626,0.0
CECZ,2010-12-03,0.601,1165,0.0016666666666667052
CECZ,2010-12-06,0.6,243406,-0.0016638935108153063
CECZ,2010-12-07,0.607,6176,0.011666666666666714
CECZ,2010-12-08,0.6,20993,-0.011532125205930832
CECZ,2010-12-09,0.601,110066,0.0016666666666667052
CECZ,2010-12-10,0.603,41411,0.0033277870216306127
CECZ,2010-12-13,0.601,64606,-0.0033167495854062867
CECZ,2010-12-14,0.608,542544,0.011647254575707144
CECZ,2010-12-15,0.608,0,0.0
CECZ,2010-12-16,0.602,915017,-0.009868421052631637
CECZ,2010-12-17,0.603,277899,0.0016611295681063787
