index_date,luse_index
2019-04-30,5458.24
2019-05-01,5457.64
2019-05-02,5457.64
2019-05-03,5441.72
2019-05-04,5441.72
2019-05-05,5441.72
2019-05-06,5442.68
2019-05-07,5442.68
2019-05-08,5442.68
2019-05-09,5413.03
2019-05-10,5413.03
2019-05-11,5413.03
2019-05-12,5413.03
2019-05-13,5420.84
2019-05-14,5577.06
2019-05-15,5745.02
2019-05-16,5748.93
2019-05-17,5740.17
2019-05-18,5740.17
2019-05-19,5740.17
2019-05-20,5740.17
2019-05-21,5736.7
2019-05-22,5735.98
2019-05-23,5735.98
2019-05-24,5739.45
2019-05-25,5739.45
2019-05-26,5739.45
2019-05-27,5739.45
2019-05-28,5725.32
2019-05-29,5724.77
2019-05-30,5477.49
2019-05-31,5482.98
2019-06-01,5482.98
2019-06-02,5482.98
2019-06-03,5482.98
2019-06-04,4996.45
2019-06-05,4996.35
2019-06-06,4995.97
2019-06-07,4995.97
2019-06-08,4995.97
2019-06-09,4995.97
2019-06-10,4995.97
2019-06-11,4995.97
2019-06-12,4994.66
2019-06-13,5002.27
2019-06-14,5002.27
2019-06-15,5002.27
2019-06-16,5002.27
2019-06-17,4649.14
2019-06-18,4649.14
2019-06-19,4637.52
2019-06-20,4632.03
2019-06-21,4632.03
2019-06-22,4632.03
2019-06-23,4632.03
2019-06-24,4563.04
2019-06-25,4564.78
2019-06-26,4564.78
2019-06-27,4564.78
2019-06-28,4564.78
2019-06-29,4564.78
2019-06-30,4564.78
2019-07-01,4580.41
2019-07-02,4580.41
2019-07-03,4580.41
2019-07-04,4530.54
2019-07-05,4530.54
2019-07-06,4530.54
2019-07-07,4530.54
2019-07-08,4530.54
2019-07-09,4585.24
2019-07-10,4581.33
2019-07-11,4581.33
2019-07-12,4585.24
2019-07-13,4585.24
2019-07-14,4585.24
2019-07-15,4581.33
2019-07-16,4581.33
2019-07-17,4585.24
2019-07-18,4568.12
2019-07-19,4568.12
2019-07-20,4568.12
2019-07-21,4568.12
2019-07-22,4568.12
2019-07-23,4568.12
2019-07-24,4568.12
2019-07-25,4563.3
2019-07-26,4563.3
2019-07-27,4563.3
2019-07-28,4563.3
2019-07-29,4551.58
2019-07-30,4563.3
2019-07-31,4567.21
2019-08-01,4567.21
2019-08-02,4567.21
2019-08-03,4567.21
2019-08-04,4567.21
2019-08-05,4567.21
2019-08-06,4567.21
2019-08-07,4567.21
2019-08-08,4507.09
2019-08-09,4503.18
2019-08-10,4503.18
2019-08-11,4503.18
2019-08-12,4503.18
2019-08-13,4503.18
2019-08-14,4503.18
2019-08-15,4503.18
2019-08-16,4503.18
2019-08-17,4503.18
2019-08-18,4503.18
2019-08-19,4465.6
2019-08-20,4465.7
2019-08-21,4461.79
2019-08-22,4461.79
2019-08-23,4457.88
2019-08-24,4457.88
2019-08-25,4457.88
2019-08-26,4431.57
2019-08-27,4455.62
2019-08-28,4455.62
2019-08-29,4427.56
2019-08-30,4427.56
2019-08-31,4427.56
2019-09-01,4427.56
2019-09-02,4427.56
2019-09-03,4427.56
2019-09-04,4427.56
2019-09-05,4427.56
2019-09-06,4426.25
2019-09-07,4426.25
2019-09-08,4426.25
2019-09-09,4431.46
2019-09-10,4427.55
2019-09-11,4423.64
2019-09-12,4404.13
2019-09-13,4406.72
2019-09-14,4406.72
2019-09-15,4406.72
2019-09-16,4406.72
2019-09-17,4406.72
2019-09-18,4398.81
2019-09-19,4371.04
2019-09-20,4371.04
2019-09-21,4371.04
2019-09-22,4371.04
2019-09-23,4371.04
2019-09-24,4371.04
2019-09-25,4371.04
2019-09-26,4395.34
2019-09-27,4395.34
2019-09-28,4395.34
2019-09-29,4395.34
2019-09-30,4395.34
2019-10-01,4393.7
2019-10-02,4397.61
2019-10-03,4397.61
2019-10-04,4397.61
2019-10-05,4397.61
2019-10-06,4397.61
2019-10-07,4397.61
2019-10-08,4397.61
2019-10-09,4397.61
2019-10-10,4400.93
2019-10-11,4373.45
2019-10-12,4373.45
2019-10-13,4373.45
2019-10-14,4369.84
2019-10-15,4365.93
2019-10-16,4365.93
2019-10-17,4355.43
2019-10-18,4355.43
2019-10-19,4355.43
2019-10-20,4355.43
2019-10-21,4355.43
2019-10-22,4359.34
2019-10-23,4352.11
2019-10-24,4352.11
2019-10-25,4352.11
2019-10-26,4352.11
2019-10-27,4352.11
2019-10-28,4330.56
2019-10-29,4330.56
2019-10-30,4330.56
2019-10-31,4330.56
2019-11-01,4312.77
2019-11-02,4312.77
2019-11-03,4312.77
2019-11-04,4312.77
2019-11-05,4317.68
2019-11-06,4313.77
2019-11-07,4312.57
2019-11-08,4310.66
2019-11-09,4310.66
2019-11-10,4310.66
2019-11-11,4311.14
2019-11-12,4311.9
2019-11-13,4315.91
2019-11-14,4308.1
2019-11-15,4296.29
2019-11-16,4296.29
2019-11-17,4296.29
2019-11-18,4247.69
2019-11-19,4247.69
2019-11-20,4259.5
2019-11-21,4259.5
2019-11-22,4259.5
2019-11-23,4259.5
2019-11-24,4259.5
2019-11-25,4259.5
2019-11-26,4259.5
2019-11-27,4259.02
2019-11-28,4259.02
2019-11-29,4259.02
2019-11-30,4259.02
2019-12-01,4259.02
2019-12-02,4259.02
2019-12-03,4272.91
2019-12-04,4272.91
2019-12-05,4272.91
2019-12-06,4268.9
2019-12-07,4268.9
2019-12-08,4268.9
2019-12-09,4268.9
2019-12-10,4268.9
2019-12-11,4268.9
2019-12-12,4264.99
2019-12-13,4251.1
2019-12-14,4251.1
2019-12-15,4251.1
2019-12-16,4255.01
2019-12-17,4250.62
2019-12-18,4250.62
2019-12-19,4264.51
2019-12-20,4264.51
2019-12-21,4264.51
2019-12-22,4264.51
2019-12-23,4264.51
